,S109_001,S109_002,S109_003,S109_005
S109_001,1.0,0.9998785717334349,0.9999778797017456,0.9998738828149673
S109_002,0.9998785717334349,1.0,0.9999041294795747,0.9998315824613238
S109_003,0.9999778797017456,0.9999041294795747,1.0,0.9998927388411717
S109_005,0.9998738828149673,0.9998315824613238,0.9998927388411717,1.0
